User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U00001,53,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104.0,3.9,469,5.2,4.1,803,Education
U00002,60,Other,Delhi,Realme,iOS,9.2,28.1,13.7,169.0,2.8,4997,5.1,0.4,1526,Gaming
U00003,37,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96.0,3.0,2381,1.7,2.9,1619,Entertainment
U00004,32,Male,Pune,Samsung,Android,11.0,25.6,156.2,146.0,5.2,1185,3.2,0.3,1560,Entertainment
U00005,16,Male,Mumbai,Xiaomi,iOS,2.2,2.5,236.2,86.0,5.5,106,3.4,2.3,742,Social Media
U00006,21,Male,Jaipur,Oppo,iOS,5.4,10.6,210.6,25.0,4.2,6285,0.6,4.8,1749,Entertainment
U00007,57,Female,Lucknow,Apple,iOS,6.0,35.2,154.5,123.0,0.8,2653,2.9,2.3,1073,Social Media
U00008,56,Other,Kolkata,Realme,iOS,3.1,43.5,125.3,188.0,2.3,9767,5.2,5.0,1136,Entertainment
U00009,46,Female,Kolkata,Oppo,Android,5.3,46.4,21.3,194.0,3.7,2870,6.1,2.8,1253,Entertainment
U00010,44,Other,Kolkata,Apple,iOS,9.9,10.6,180.2,84.0,4.8,9193,7.6,0.4,168,Education
U00011,55,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27.0,3.1,9330,1.2,2.3,1098,Work
U00012,41,Female,Delhi,Oppo,Android,7.5,23.5,84.9,187.0,0.9,643,3.5,2.7,151,Social Media
U00013,53,Male,Bangalore,Realme,iOS,10.5,1.4,33.7,137.0,4.5,7854,7.2,1.4,240,Education
U00014,35,Male,Jaipur,Realme,Android,6.706086286594761,32.4,247.1,124.0,5.2,3347,3.8,4.5,972,Social Media
U00015,33,Female,Jaipur,Motorola,iOS,1.7,33.2,208.8,121.0,3.0,3185,4.2,0.5,1046,Entertainment
